nodes/name,nodes/value,nodes/colour,links/source,links/target,links/value
,,,17,54,2
,,,53,54,2
,,,48,0,1
,,,47,0,1
,,,48,38,3
,,,20,48,3
,,,48,17,3
,,,48,53,1
,,,48,54,1
,,,47,53,1
,,,47,54,1
,,,4,53,2
,,,4,54,1
,,,48,32,2
,,,33,55,4
,,,48,33,1
,,,48,5,1
,,,32,55,3
,,,4,55,3
,,,55,5,3
,,,11,56,14
,,,38,56,8
,,,56,4,20
,,,56,19,6
,,,20,56,14
,,,4,57,3
,,,4,58,2
,,,20,57,2
,,,20,58,2
,,,58,57,2
,,,19,57,2
,,,58,19,1
,,,24,11,5
,,,34,24,7
,,,24,56,2
,,,34,19,6
,,,20,34,3
,,,34,56,2
,,,56,32,6
,,,56,14,1
,,,34,17,8
,,,56,17,3
,,,11,59,2
,,,11,60,2
,,,11,61,1
,,,34,59,2
,,,34,60,2
,,,34,61,2
,,,59,17,2
,,,60,17,3
,,,61,17,2
,,,60,59,2
,,,61,59,2
,,,60,61,2
,,,11,55,2
,,,56,33,3
,,,20,55,2
,,,56,5,3
,,,56,55,2
,,,24,39,3
,,,62,5,2
,,,24,59,2
,,,24,60,1
,,,24,61,1
,,,63,4,2
,,,20,63,2
,,,4,64,1
,,,56,64,2
,,,11,53,1
,,,56,0,1
,,,38,7,1
,,,56,7,1
,,,56,53,1
,,,53,7,2
,,,20,60,1
,,,63,32,1
,,,63,33,1
,,,63,5,1
,,,63,56,1
,,,65,11,34
,,,65,32,1
,,,20,65,11
,,,65,17,4
,,,65,56,1
,,,65,4,19
,,,63,11,1
,,,62,11,1
,,,66,5,4
,,,66,62,1
,,,34,67,2
,,,65,0,2
,,,20,7,2
,,,65,5,7
,,,38,65,1
,,,34,1,2
,,,24,5,3
,,,19,5,11
,,,24,68,71
,,,24,69,92
,,,68,19,74
,,,69,19,45
,,,34,68,1
,,,34,69,1
,,,68,4,53
,,,69,4,12
,,,69,68,75
,,,68,17,1
,,,68,5,11
,,,69,17,1
,,,69,5,4
,,,24,67,2
,,,67,19,2
,,,65,70,11
,,,11,70,3
,,,50,4,3
,,,4,51,5
,,,24,71,1
,,,19,71,1
,,,65,71,1
,,,65,69,18
,,,69,71,2
,,,72,68,19
,,,73,68,2
,,,72,73,2
,,,65,49,3
,,,69,49,3
,,,68,51,10
,,,72,51,2
,,,50,68,5
,,,72,4,3
,,,67,4,1
,,,4,49,2
,,,72,24,5
,,,24,49,2
,,,72,19,2
,,,19,49,1
,,,50,69,1
,,,50,72,2
,,,50,67,1
,,,50,49,1
,,,67,68,1
,,,68,49,2
,,,72,69,5
,,,67,69,1
,,,72,67,1
,,,72,49,1
,,,67,49,1
,,,24,65,4
,,,65,19,6
,,,65,68,43
,,,65,74,2
,,,11,74,2
,,,74,70,2
,,,66,4,14
,,,24,66,75
,,,66,68,71
,,,75,4,16
,,,66,75,148
,,,75,68,85
,,,75,31,11
,,,29,75,2
,,,29,31,2
,,,69,70,2
,,,66,31,7
,,,66,29,1
,,,24,75,74
,,,75,19,36
,,,11,69,5
,,,69,74,1
,,,66,19,37
,,,66,69,92
,,,75,69,104
,,,4,70,2
,,,66,71,1
,,,68,71,1
,,,75,71,1
,,,66,65,7
,,,65,75,14
,,,19,76,3
,,,77,19,1
,,,78,19,3
,,,66,76,2
,,,66,77,1
,,,66,78,2
,,,68,76,14
,,,77,68,1
,,,78,68,5
,,,75,76,3
,,,77,75,2
,,,78,75,3
,,,69,76,7
,,,77,69,3
,,,78,69,7
,,,77,76,6
,,,78,76,5
,,,78,77,2
,,,78,4,1
,,,24,57,4
,,,24,78,5
,,,68,57,11
,,,75,57,1
,,,72,75,1
,,,69,57,7
,,,72,57,5
,,,78,57,5
,,,72,78,5
,,,57,76,6
,,,77,57,3
,,,24,76,5
,,,72,76,5
,,,68,79,2
,,,69,79,1
,,,57,79,1
,,,24,77,1
,,,72,77,1
,,,80,77,2
,,,24,80,1
,,,80,69,1
,,,65,77,1
,,,80,57,2
,,,80,68,1
,,,65,79,3
,,,65,57,2
,,,65,76,1
,,,72,65,1
,,,75,49,3
,,,75,81,4
,,,31,69,10
,,,69,81,6
,,,31,81,1
,,,24,82,1
,,,82,19,1
,,,66,82,1
,,,82,68,1
,,,82,69,2
,,,75,5,4
,,,75,83,2
,,,24,81,2
,,,19,81,1
,,,66,81,2
,,,68,81,2
,,,65,84,9
,,,65,85,2
,,,85,84,2
,,,86,68,4
,,,87,76,3
,,,68,83,2
,,,65,88,4
,,,11,84,2
,,,11,88,1
,,,88,84,2
,,,11,68,16
,,,48,65,5
,,,48,84,1
,,,24,89,24
,,,66,89,38
,,,75,89,35
,,,89,69,34
,,,11,75,3
,,,48,75,9
,,,48,89,9
,,,65,89,7
,,,48,69,5
,,,48,31,3
,,,65,31,1
,,,31,89,9
,,,89,68,21
,,,11,89,2
,,,48,24,5
,,,48,66,6
,,,48,19,2
,,,89,19,10
,,,48,68,3
,,,31,68,14
,,,65,90,2
,,,11,90,2
,,,11,49,2
,,,90,49,2
,,,24,31,13
,,,91,24,5
,,,91,19,2
,,,91,68,4
,,,91,31,6
,,,91,75,3
,,,92,24,2
,,,91,48,1
,,,48,92,1
,,,91,66,1
,,,91,89,3
,,,91,92,2
,,,92,66,1
,,,92,75,2
,,,92,89,2
,,,92,31,2
,,,91,69,2
,,,92,69,1
,,,91,4,1
,,,31,4,1
,,,90,4,1
,,,65,51,1
,,,11,51,1
,,,20,68,5
,,,20,69,1
,,,69,51,1
,,,51,5,1
,,,93,24,2
,,,93,19,1
,,,59,19,1
,,,93,66,1
,,,66,11,1
,,,66,59,1
,,,93,11,1
,,,93,68,1
,,,93,75,4
,,,93,69,4
,,,93,89,6
,,,93,76,2
,,,93,59,1
,,,11,76,1
,,,68,59,1
,,,75,59,1
,,,69,59,1
,,,89,76,7
,,,89,59,1
,,,59,76,1
,,,68,84,1
,,,75,84,1
,,,89,57,2
,,,93,77,1
,,,77,89,5
,,,89,4,1
,,,20,66,1
,,,20,75,1
,,,20,89,1
,,,89,5,1
,,,96,95,4
,,,94,95,13
,,,94,96,3
,,,97,95,2
,,,98,97,1
,,,97,96,1
,,,98,95,1
,,,98,96,1
,,,98,99,4
,,,100,101,7
,,,94,100,37
,,,102,97,6
,,,94,101,5
,,,99,95,16
,,,97,103,2
,,,102,103,1
,,,99,68,5
,,,68,95,3
,,,99,102,1
,,,98,102,1
,,,97,104,7
,,,102,104,4
,,,99,101,3
,,,68,101,3
,,,95,101,1
,,,99,100,54
,,,94,99,26
,,,68,100,9
,,,95,100,4
,,,94,68,9
,,,99,97,7
,,,99,103,1
,,,66,101,3
,,,66,99,35
,,,66,100,32
,,,94,66,16
,,,75,101,3
,,,99,75,35
,,,75,100,31
,,,94,75,18
,,,105,66,2
,,,105,75,3
,,,105,94,2
,,,105,99,1
,,,105,100,1
,,,75,97,8
,,,102,75,1
,,,75,104,5
,,,66,106,5
,,,99,106,5
,,,106,100,6
,,,75,106,7
,,,94,106,7
,,,65,97,2
,,,99,69,6
,,,69,100,5
,,,69,106,2
,,,94,69,6
,,,19,101,1
,,,97,101,1
,,,19,100,3
,,,97,19,1
,,,94,19,4
,,,97,100,13
,,,97,68,4
,,,94,97,1
,,,68,106,1
,,,66,95,3
,,,66,49,1
,,,66,107,1
,,,99,49,3
,,,99,107,1
,,,75,95,4
,,,75,107,1
,,,95,49,5
,,,107,95,5
,,,107,49,2
,,,66,97,5
,,,24,106,1
,,,94,24,7
,,,93,99,2
,,,93,95,2
,,,69,95,6
,,,65,104,2
,,,68,104,2
,,,69,104,2
,,,65,100,1
,,,100,104,3
,,,102,68,1
,,,93,49,1
,,,93,108,1
,,,24,99,2
,,,24,95,5
,,,108,24,2
,,,108,99,1
,,,108,75,2
,,,108,69,2
,,,108,95,2
,,,108,49,1
,,,94,49,1
,,,98,66,2
,,,98,75,2
,,,98,100,1
,,,110,102,2
,,,111,95,3
,,,111,107,3
,,,97,49,1
,,,97,69,1
,,,66,104,2
,,,99,104,2
,,,112,95,2
,,,95,109,1
,,,107,112,2
,,,107,109,1
,,,111,112,2
,,,111,109,1
,,,112,109,1
,,,24,100,2
,,,24,96,1
,,,95,19,1
,,,96,19,1
,,,96,100,1
,,,96,68,1
,,,69,96,1
